step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
354,64146,354,1.37100676,0,0.662420382
355,64251,355,1.765349195,0,0.5
356,64436,356,1.710906061,0,0.547058824
357,64533,357,0.896378952,0,0.589285714
358,64678,358,1.274512861,0,0.65648855
359,64927,359,1.470174393,0,0.565789474
360,65360,360,2.401589085,0,0.461176471
361,65409,361,1.105664543,0,0.458333333
362,65514,362,1.917282715,0,0.450549451
363,65843,363,1.428226975,0,0.690553746
364,65980,364,2.149169187,0,0.472
365,66077,365,1.791121444,0,0.470588235
366,66174,366,2.083965734,0,0.413333333
367,66279,367,1.779260524,0,0.483870968
368,66592,368,1.999639315,0,0.52
369,67113,369,1.716066997,0,0.616161616
370,67386,370,2.018304817,0,0.494252874
371,67659,371,1.239057484,0,0.658536585
372,67692,372,0.377759244,0,0.882352941
373,67997,373,1.521667811,0,0.618705036
374,68046,374,1.108067668,0,0.631578947
375,68319,375,1.617541874,0,0.584
376,68488,376,1.542300773,0,0.553191489
377,68545,377,1.525907446,0,0.58974359
378,68786,378,1.467704457,0,0.619469027
379,68891,379,1.974549024,0,0.549450549
380,68940,380,1.349915225,0,0.567567568
381,68981,381,0.902117025,0,0.535714286
382,69390,382,1.892205419,0,0.557591623
383,69599,383,1.335180028,0,0.571428571
384,69760,384,1.890490183,0,0.416058394
385,69841,385,1.627577757,0,0.492753623
386,69922,386,1.550524395,0,0.466666667
387,69955,387,1.888939438,0,0.434782609
388,70116,388,1.356636346,0,0.626666667
389,70653,389,1.532897314,0,0.642023346
390,70782,390,1.350798524,0,0.681818182
391,71119,391,1.477951379,0,0.608832808
392,71208,392,1.742029528,0,0.534246575
393,71313,393,1.664643733,0,0.552083333
394,71394,394,1.389312942,0,0.516666667
395,71603,395,1.377698891,0,0.671794872
396,71780,396,1.232451891,0,0.606060606
397,72061,397,1.652700584,0,0.548638132
398,72334,398,1.722222669,0,0.624521073
399,72495,399,1.298389698,0,0.601351351
400,72648,400,2.164406612,0,0.464285714
401,72721,401,1.105390958,0,0.566037736
402,72978,402,1.603738734,0,0.602678571
403,73227,403,1.091521131,0,0.678217822
404,73332,404,2.096873772,0,0.408602151
405,73461,405,1.023211624,0,0.65
